identifier,possibleOutcomeDistribution,h
deck3331,T5C3HFdragon:38|T6C3HIdragon:2,
deck3332,T6C3HIdragon:4,
deck3333,T6C1WIdragon:35|T6C1HEdragon:3|T6C3HIdragon:2,
deck3334,T6C1SFdragon:28|T6C1SIdragon:3|T6C3HIdragon:2|T7C1HFdragon:3|T7C1SIdragon:3,
deck3335,T6C1SIdragon:35|T6C3HIdragon:2|T7C1SIdragon:3,
deck3336,T6C1WIdragon:38|T6C3HIdragon:2,
deck3337,T6C3HIdragon:4,
deck3338,T5C2SEdragon:29|T5C1HEdragon:3|T5C2HDdragon:3|T5C3SDdragon:3|T6C1HEdragon:3,
deck3339,T5C2SEdragon:26|T5C2WIdragon:3|T5C3SIdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3340,T5C2SEdragon:37|T5C2SUdragon:3,
deck3341,T5C1SFdragon:25|T5C2SEdragon:4|T5C3HFdragon:3|T5C1HEdragon:3|T6C1SFdragon:3|T6C1HEdragon:3,
deck3342,T5C1SFdragon:25|T5C2SEdragon:4|T5C3WEdragon:3|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3,
deck3343,T5C2SEdragon:37|T5C3SDdragon:3,
deck3344,T5C2SEdragon:28|T5C2SUdragon:3|T5C1HEdragon:3|T5C3HUdragon:3|T6C1HEdragon:3,
deck3345,T5C2SEdragon:37|T5C3WEdragon:3,
deck3346,T5C2SEdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck3347,T5C2SEdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck3348,T5C2SEdragon:29|T5C3WEdragon:3|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3,
deck3349,T5C2SEdragon:37|T6C1HEdragon:3,
deck3350,T5C2SEdragon:32|T5C3SDdragon:3|T5C3WEdragon:3|T6C1WDdragon:3,
deck3351,T5C2SEdragon:26|T5C2WIdragon:3|T5C3SIdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3352,T5C2SEdragon:37|T6C1SFdragon:3,
deck3353,T5C2SEdragon:28|T5C2SUdragon:3|T5C3HUdragon:3|T6C1HEdragon:3|T6C2HUdragon:3,
deck3354,T5C3SIdragon:29|T6C1HEdragon:3|T6C1SIdragon:3|T6C3HIdragon:2|T6C3SEdragon:2,
deck3355,T5C3HUdragon:29|T6C1HEdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3SEdragon:2,
deck3356,T5C3WEdragon:27|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3|T6C3SEdragon:2|T6C3WFdragon:2,
deck3357,T5C3SDdragon:36|T6C3SDdragon:2|T6C3SEdragon:2,
deck3358,T6C3SEdragon:4,
deck3359,T5C3SDdragon:31|T5C3WEdragon:3|T6C1WDdragon:3|T6C3SDdragon:2|T6C3SEdragon:2,
deck3360,T5C3SIdragon:35|T6C1SIdragon:3|T6C3SEdragon:2,
deck3361,T5C3HFdragon:32|T6C1SFdragon:3|T6C1HEdragon:3|T6C3SEdragon:2,
deck3362,T6C1WIdragon:31|T6C1SIdragon:3|T6C3SEdragon:2|T7C1SIdragon:3,
deck3363,T6C3SEdragon:4,
deck3364,T6C1SFdragon:31|T6C1HEdragon:3|T6C3SEdragon:2|T7C1HFdragon:3,
deck3365,T6C1HEdragon:36|T6C3SDdragon:2|T6C3SEdragon:2,
deck3366,T6C3SEdragon:4,
deck3367,T6C1SFdragon:38|T6C3SEdragon:2,
deck3368,T6C1SIdragon:35|T6C3SEdragon:2|T7C1SIdragon:3,
deck3369,T6C1WIdragon:31|T6C1SIdragon:3|T6C3SEdragon:2|T7C1SIdragon:3,
deck3370,T6C1HEdragon:36|T6C3SDdragon:2|T6C3SEdragon:2,
deck3371,T5C1HIdragon:26|T5C1WDdragon:3|T5C2WIdragon:3|T5C2HDdragon:3|T6C1WDdragon:3|T6C1WIdragon:3,
deck3372,T5C2SUdragon:32|T5C2HDdragon:3|T5C3HUdragon:3|T5C3SDdragon:3,
deck3373,T5C3HFdragon:37|T5C2HDdragon:3,
deck3374,T5C1WDdragon:26|T5C3HFdragon:3|T5C2HDdragon:3|T5C3WFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3,
deck3375,T5C2HDdragon:37|T5C3SDdragon:3,
deck3376,T5C2HDdragon:37|T5C3HUdragon:3,
deck3377,T5C1WDdragon:26|T5C1HEdragon:3|T5C2HDdragon:3|T5C3WEdragon:3|T6C1WDdragon:3|T6C1HEdragon:3,
deck3378,T5C1HIdragon:29|T5C2HDdragon:3|T5C3SDdragon:3|T5C3SIdragon:3|T6C1SIdragon:3,
deck3379,T5C2HDdragon:31|T5C3SDdragon:3|T5C3SIdragon:3|T6C1SIdragon:3,
deck3380,T5C3HFdragon:29|T5C2HDdragon:3|T5C3WFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3,
deck3381,T5C2HDdragon:37|T6C1HEdragon:3,
deck3382,T5C2HDdragon:37|T6C1WDdragon:3,
deck3383,T5C2WIdragon:32|T5C2HDdragon:3|T6C1WDdragon:3|T6C1WIdragon:3,
deck3384,T5C3HFdragon:32|T5C2HDdragon:3|T5C3SDdragon:3|T6C1SFdragon:3,
deck3385,T5C2HDdragon:34|T5C3HUdragon:3|T6C2HUdragon:3,
deck3386,T6C3HIdragon:4,
deck3387,T5C3HUdragon:35|T6C2HUdragon:3|T6C3HUdragon:2,
deck3388,T5C3HFdragon:29|T5C3WFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3|T6C3WFdragon:2,
deck3389,T5C3SDdragon:38|T6C3SDdragon:2,
deck3390,T5C3SDdragon:33|T6C1HEdragon:3|T6C3SDdragon:2|T6C3SEdragon:2,
deck3391,T6C1WDdragon:4,
deck3392,T5C3SDdragon:30|T5C3SIdragon:3|T6C1SIdragon:3|T6C3HIdragon:2|T6C3SDdragon:2,
deck3393,T5C3HFdragon:4,
deck3394,T6C1WDdragon:32|T6C1WIdragon:3|T6C3HIdragon:2|T7C1WDdragon:3,
deck3395,T6C1HEdragon:36|T6C3SDdragon:2|T6C3SEdragon:2,
deck3396,T7C1HFdragon:4,
deck3397,T6C1WDdragon:33|T6C1HEdragon:3|T7C1WDdragon:3,
deck3398,T6C1SFdragon:35|T6C3SDdragon:2|T7C1HFdragon:3,
deck3399,T6C1SIdragon:33|T6C3HIdragon:2|T6C3SDdragon:2|T7C1SIdragon:3,
deck3400,T6C1WDdragon:32|T6C1WIdragon:3|T6C3HIdragon:2|T7C1WDdragon:3,
deck3401,T5C1WUdragon:25|T5C2SUdragon:3|T5C2WIdragon:3|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3402,T5C1HIdragon:25|T5C2WIdragon:3|T5C3HFdragon:3|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3,
deck3403,T5C2WIdragon:31|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3,
deck3404,T5C2WIdragon:26|T5C3SDdragon:3|T5C3SIdragon:3|T6C1WDdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3405,T5C1HIdragon:28|T5C1WUdragon:4|T5C2WIdragon:3|T5C3HUdragon:3|T6C1WIdragon:3,
deck3406,T5C2WIdragon:35|T5C3WEdragon:3|T6C1WIdragon:3,
deck3407,T5C2WIdragon:31|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3408,T5C2WIdragon:31|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3409,T5C2WIdragon:31|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3,
deck3410,T5C2WIdragon:31|T5C3WEdragon:3|T6C1WIdragon:3|T6C1HEdragon:3,
deck3411,T5C2WIdragon:35|T6C1WDdragon:3|T6C1WIdragon:3,
deck3412,T5C2WIdragon:37|T6C1WIdragon:3,
deck3413,T5C3SIdragon:25|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3,
deck3414,T5C2WIdragon:31|T5C3HUdragon:3|T6C1WIdragon:3|T6C2HUdragon:3,
deck3415,T6C1WIdragon:38|T6C3HIdragon:2,
deck3416,T5C3HUdragon:30|T6C1WIdragon:3|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2,
deck3417,T5C3WFdragon:32|T6C1WIdragon:3|T6C1WFdragon:3|T6C3WFdragon:2,
deck3418,T5C3SDdragon:27|T5C3SIdragon:3|T6C1WDdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C3SDdragon:2,
deck3419,T5C3SIdragon:29|T5C3WEdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C3SEdragon:2,
deck3420,T6C1WDdragon:37|T6C1WIdragon:3,
deck3421,T5C3SIdragon:34|T6C1WIdragon:3|T6C1SIdragon:3,
deck3422,T5C3HFdragon:27|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3|T6C3HIdragon:2|T6C3WFdragon:2,
deck3423,T6C1WIdragon:4,
deck3424,T6C1WIdragon:31|T6C1SIdragon:3|T6C3SEdragon:2|T7C1SIdragon:3,
deck3425,T6C1WIdragon:29|T6C1WFdragon:3|T6C3HIdragon:2|T6C3WFdragon:2|T7C1HFdragon:3,
deck3426,T6C1WDdragon:32|T6C1WIdragon:3|T6C3HIdragon:2|T7C1WDdragon:3,
deck3427,T6C1WIdragon:4,
deck3428,T6C1SFdragon:25|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3|T6C3WFdragon:2|T7C1SIdragon:3,
deck3429,T6C1WIdragon:33|T6C1SIdragon:3|T7C1SIdragon:3,
deck3430,T6C1WIdragon:4,
deck3431,T6C1WDdragon:32|T6C1WIdragon:3|T6C3HIdragon:2|T7C1WDdragon:3,
deck3432,T5C1SFdragon:29|T5C2SUdragon:3|T5C3HFdragon:3|T5C3HUdragon:3|T6C1SFdragon:3,
deck3433,T5C1SFdragon:25|T5C1WUdragon:4|T5C2SUdragon:3|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3,
deck3434,T5C2SUdragon:37|T5C3SDdragon:3,
deck3435,T5C2SUdragon:37|T5C3HUdragon:3,
deck3436,T5C1WUdragon:31|T5C2SEdragon:4|T5C2SUdragon:3|T5C3WEdragon:3,
deck3437,T5C2SUdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck3438,T5C2SUdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck3439,T5C2SUdragon:31|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3,
deck3440,T5C2SEdragon:28|T5C2SUdragon:3|T5C3HUdragon:3|T6C1HEdragon:3|T6C2HUdragon:3,
deck3441,T5C2SUdragon:35|T5C3SDdragon:3|T6C1WDdragon:3,
deck3442,T5C2SUdragon:28|T5C2WIdragon:3|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3443,T5C2SUdragon:37|T6C1SFdragon:3,
deck3444,T5C2SUdragon:34|T5C3HUdragon:3|T6C2HUdragon:3,
deck3445,T5C3HUdragon:27|T5C3SIdragon:3|T6C1SIdragon:3|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2,
deck3446,T5C3HUdragon:35|T6C2HUdragon:3|T6C3HUdragon:2,
deck3447,T5C3WFdragon:32|T6C1SFdragon:3|T6C1WFdragon:3|T6C3WFdragon:2,
deck3448,T5C3SDdragon:38|T6C3SDdragon:2,
deck3449,T6C3SEdragon:4,
deck3450,T5C3SDdragon:35|T6C1WDdragon:3|T6C3SDdragon:2,
deck3451,T5C3SIdragon:37|T6C1SIdragon:3,
deck3452,T5C3HFdragon:29|T5C3HUdragon:3|T6C1SFdragon:3|T6C2HUdragon:3|T6C3HUdragon:2,
deck3453,T6C1WIdragon:33|T6C1SIdragon:3|T7C1SIdragon:3,
deck3454,T6C3SEdragon:4,
deck3455,T6C1SFdragon:31|T6C2HUdragon:3|T6C3HUdragon:2|T7C1HFdragon:3,
deck3456,T6C2HUdragon:36|T6C3HUdragon:2|T6C3SDdragon:2,
deck3457,T6C3SEdragon:4,
deck3458,T6C1SFdragon:4,
deck3459,T6C1SIdragon:37|T7C1SIdragon:3,
deck3460,T6C1WIdragon:33|T6C1SIdragon:3|T7C1SIdragon:3,
deck3461,T6C2HUdragon:36|T6C3HUdragon:2|T6C3SDdragon:2,
deck3462,T5C3HFdragon:34|T5C3WFdragon:3|T6C1WFdragon:3,
deck3463,T5C3HFdragon:32|T5C2HDdragon:3|T5C3SDdragon:3|T6C1SFdragon:3,
deck3464,T5C3HFdragon:34|T5C3HUdragon:3|T6C2HUdragon:3,
deck3465,T5C3HFdragon:28|T5C3WEdragon:3|T5C3WFdragon:3|T6C1HEdragon:3|T6C1WFdragon:3,
deck3466,T5C3HFdragon:31|T5C3SIdragon:3|T6C1SFdragon:3|T6C1SIdragon:3,
deck3467,T5C3HFdragon:31|T5C3SIdragon:3|T6C1SFdragon:3|T6C1SIdragon:3,
deck3468,T5C3HFdragon:34|T5C3WFdragon:3|T6C1WFdragon:3,
deck3469,T5C3HFdragon:37|T6C1HEdragon:3,
deck3470,T5C3HFdragon:29|T5C2HDdragon:3|T5C3WFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3,
deck3471,T5C2WIdragon:28|T5C3HFdragon:3|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3,
deck3472,T5C3HFdragon:37|T6C1SFdragon:3,
deck3473,T5C3HFdragon:32|T5C3HUdragon:3|T6C2HUdragon:3|T6C3HUdragon:2,
deck3474,T5C3HFdragon:38|T6C3HIdragon:2,
deck3475,T5C3HFdragon:32|T5C3HUdragon:3|T6C2HUdragon:3|T6C3HUdragon:2,
deck3476,T5C3HFdragon:32|T5C3WFdragon:3|T6C1WFdragon:3|T6C3WFdragon:2,
deck3477,T5C3HFdragon:33|T5C3SDdragon:3|T6C1SFdragon:3|T6C3SDdragon:2,
deck3478,T5C3HFdragon:32|T6C1SFdragon:3|T6C1HEdragon:3|T6C3SEdragon:2,
deck3479,T6C1WDdragon:28|T6C1WFdragon:3|T6C3WFdragon:2|T7C1HFdragon:3|T7C1WDdragon:3,
deck3480,T6C1SFdragon:28|T6C1SIdragon:3|T6C3HIdragon:2|T7C1HFdragon:3|T7C1SIdragon:3,
deck3481,T5C3HFdragon:4,
deck3482,T6C1WIdragon:29|T6C1WFdragon:3|T6C3HIdragon:2|T6C3WFdragon:2|T7C1HFdragon:3,
deck3483,T6C1SFdragon:31|T6C1HEdragon:3|T6C3SEdragon:2|T7C1HFdragon:3,
deck3484,T5C3HFdragon:4,
deck3485,T5C3HFdragon:4,
deck3486,T6C3WFdragon:33|T7C1HFdragon:3|T7C2HFdragon:4,
deck3487,T7C1HFdragon:36|T7C2HFdragon:4,
deck3488,T6C3HIdragon:29|T7C1HFdragon:3|T7C1SIdragon:3|T7C2HFdragon:4,
deck3489,T6C3HIdragon:27|T6C3WFdragon:2|T7C1HFdragon:3|T7C2HFdragon:4|T7C2WIdragon:4,
deck3490,T7C1HFdragon:32|T7C2HDdragon:4|T7C2HFdragon:4,
deck3491,T5C3SDdragon:29|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3,
deck3492,T5C3HFdragon:28|T5C3HUdragon:3|T5C3WFdragon:3|T6C1WFdragon:3|T6C2HUdragon:3,
deck3493,T5C3WEdragon:34|T5C3WFdragon:3|T6C1WFdragon:3,
deck3494,T5C3SIdragon:25|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3,
deck3495,T5C3SIdragon:25|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3,
deck3496,T5C3WFdragon:37|T6C1WFdragon:3,
deck3497,T5C3HFdragon:28|T5C3WEdragon:3|T5C3WFdragon:3|T6C1HEdragon:3|T6C1WFdragon:3,
deck3498,T5C3WFdragon:34|T6C1WDdragon:3|T6C1WFdragon:3,
deck3499,T5C2WIdragon:31|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3,
deck3500,T5C3WFdragon:34|T6C1SFdragon:3|T6C1WFdragon:3,
deck3501,T5C3HUdragon:27|T5C3WFdragon:3|T6C1WFdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3WFdragon:2,
deck3502,T5C3HFdragon:27|T5C3WFdragon:3|T6C1WIdragon:3|T6C1WFdragon:3|T6C3HIdragon:2|T6C3WFdragon:2,
deck3503,T5C3HUdragon:27|T5C3WFdragon:3|T6C1WFdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3WFdragon:2,
deck3504,T5C3WFdragon:35|T6C1WFdragon:3|T6C3WFdragon:2,
deck3505,T5C3SDdragon:27|T6C1SFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3|T6C3SDdragon:2|T6C3WFdragon:2,
deck3506,T5C3WEdragon:27|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3|T6C3SEdragon:2|T6C3WFdragon:2,
deck3507,T6C1WDdragon:31|T6C1WFdragon:3|T6C3WFdragon:2|T7C1WDdragon:3,
deck3508,T6C1SFdragon:25|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3|T6C3WFdragon:2|T7C1SIdragon:3,
deck3509,T6C1WFdragon:35|T6C3WFdragon:2|T7C1HFdragon:3,
deck3510,T6C1WIdragon:35|T6C1WFdragon:3|T6C3WFdragon:2,
deck3511,T6C1SFdragon:33|T6C1WFdragon:3|T6C3SEdragon:2|T6C3WFdragon:2,
deck3512,T6C1WFdragon:35|T6C3WFdragon:2|T7C1HFdragon:3,
deck3513,T6C1WDdragon:28|T6C1WFdragon:3|T6C3WFdragon:2|T7C1HFdragon:3|T7C1WDdragon:3,
deck3514,T6C3WFdragon:4,
deck3515,T6C3WFdragon:4,
deck3516,T6C3WFdragon:33|T7C1SIdragon:3|T7C2WIdragon:4,
deck3517,T6C3WFdragon:36|T7C2WIdragon:4,
deck3518,T6C3WFdragon:25|T7C1HFdragon:3|T7C1WDdragon:3|T7C2HDdragon:4|T7C2HFdragon:4,
deck3519,T5C2SUdragon:29|T5C2HDdragon:3|T5C3HUdragon:3|T5C3SDdragon:3|T6C2HUdragon:3,
deck3520,T5C2SEdragon:32|T5C3SDdragon:3|T5C3WEdragon:3|T6C1WDdragon:3,
deck3521,T5C3SDdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck3522,T5C3SDdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck3523,T5C3SDdragon:29|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3,
deck3524,T5C2SEdragon:31|T5C2HDdragon:3|T5C3SDdragon:3|T6C1HEdragon:3,
deck3525,T5C3SDdragon:37|T6C1WDdragon:3,
deck3526,T5C2WIdragon:26|T5C3SDdragon:3|T5C3SIdragon:3|T6C1WDdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3527,T5C3SDdragon:37|T6C1SFdragon:3,
deck3528,T5C3HUdragon:30|T5C3SDdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3SDdragon:2,
deck3529,T5C3SDdragon:30|T5C3SIdragon:3|T6C1SIdragon:3|T6C3HIdragon:2|T6C3SDdragon:2,
deck3530,T5C3HUdragon:30|T5C3SDdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3SDdragon:2,
deck3531,T5C3WFdragon:27|T6C1SFdragon:3|T6C1WDdragon:3|T6C1WFdragon:3|T6C3SDdragon:2|T6C3WFdragon:2,
deck3532,T5C3SDdragon:38|T6C3SDdragon:2,
deck3533,T5C3SDdragon:36|T6C3SDdragon:2|T6C3SEdragon:2,
deck3534,T6C1WDdragon:35|T6C3SDdragon:2|T7C1WDdragon:3,
deck3535,T6C1SIdragon:35|T6C3SDdragon:2|T7C1SIdragon:3,
deck3536,T6C1SFdragon:35|T6C3SDdragon:2|T7C1HFdragon:3,
deck3537,T6C1WDdragon:25|T6C1WIdragon:3|T6C1SIdragon:3|T6C3SDdragon:2|T7C1SIdragon:3|T7C1WDdragon:3,
deck3538,T6C3SDdragon:38|T6C3SEdragon:2,
deck3539,T6C1SFdragon:35|T6C3SDdragon:2|T7C1HFdragon:3,
deck3540,T6C3SDdragon:4,
deck3541,T6C3SDdragon:31|T6C3SEdragon:2|T7C1WDdragon:3|T7C2SEdragon:4,
deck3542,T6C3SDdragon:4,
deck3543,T6C3SDdragon:37|T7C1SIdragon:3,
deck3544,T6C3SDdragon:29|T7C1SIdragon:3|T7C1WDdragon:3|T7C2WIdragon:4,
deck3545,T6C3SDdragon:36|T7C2HDdragon:4,
deck3546,T5C3HUdragon:31|T5C3WEdragon:3|T6C1HEdragon:3|T6C2HUdragon:3,
deck3547,T5C2SUdragon:28|T5C3HUdragon:3|T5C3SIdragon:3|T6C1SIdragon:3|T6C2HUdragon:3,
deck3548,T5C2SUdragon:28|T5C3HUdragon:3|T5C3SIdragon:3|T6C1SIdragon:3|T6C2HUdragon:3,
deck3549,T5C3HFdragon:28|T5C3HUdragon:3|T5C3WFdragon:3|T6C1WFdragon:3|T6C2HUdragon:3,
deck3550,T5C3HUdragon:33|T6C1HEdragon:3|T6C2HUdragon:3,
deck3551,T5C2HDdragon:31|T5C3HUdragon:3|T6C1WDdragon:3|T6C2HUdragon:3,
deck3552,T5C2WIdragon:31|T5C3HUdragon:3|T6C1WIdragon:3|T6C2HUdragon:3,
deck3553,T5C2SUdragon:28|T5C3HFdragon:3|T5C3HUdragon:3|T6C1SFdragon:3|T6C2HUdragon:3,
deck3554,T5C3HUdragon:35|T6C2HUdragon:3|T6C3HUdragon:2,
deck3555,T5C3HUdragon:33|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2,
deck3556,T5C3HUdragon:35|T6C2HUdragon:3|T6C3HUdragon:2,
deck3557,T5C3HUdragon:27|T5C3WFdragon:3|T6C1WFdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3WFdragon:2,
deck3558,T5C3HUdragon:30|T5C3SDdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3SDdragon:2,
deck3559,T5C3HUdragon:29|T6C1HEdragon:3|T6C2HUdragon:3|T6C3HUdragon:2|T6C3SEdragon:2,
deck3560,T6C1WDdragon:31|T6C2HUdragon:3|T6C3HUdragon:2|T7C1WDdragon:3,
deck3561,T6C1SIdragon:29|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2|T7C1SIdragon:3,
deck3562,T6C2HUdragon:35|T6C3HUdragon:2|T7C1HFdragon:3,
deck3563,T6C1WIdragon:33|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2,
deck3564,T6C1HEdragon:33|T6C2HUdragon:3|T6C3HUdragon:2|T6C3SEdragon:2,
deck3565,T6C2HUdragon:35|T6C3HUdragon:2|T7C1HFdragon:3,
deck3566,T6C2HUdragon:38|T6C3HUdragon:2,
deck3567,T6C2HUdragon:38|T6C3HUdragon:2,
deck3568,T6C2HUdragon:31|T6C3HUdragon:2|T7C1HFdragon:3|T7C2HFdragon:4,
deck3569,T6C2HUdragon:33|T6C3HIdragon:2|T6C3HUdragon:2|T7C1SIdragon:3,
deck3570,T6C2HUdragon:32|T6C3HIdragon:2|T6C3HUdragon:2|T7C2WIdragon:4,
deck3571,T6C2HUdragon:34|T6C3HUdragon:2|T7C2HDdragon:4,
deck3572,T5C2SEdragon:26|T5C2WIdragon:3|T5C3SIdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3573,T5C2SEdragon:26|T5C2WIdragon:3|T5C3SIdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3574,T5C3WEdragon:34|T5C3WFdragon:3|T6C1WFdragon:3,
deck3575,T5C3WEdragon:37|T6C1HEdragon:3,
deck3576,T5C3WEdragon:37|T6C1WDdragon:3,
deck3577,T5C2WIdragon:35|T5C3WEdragon:3|T6C1WIdragon:3,
deck3578,T5C2SEdragon:29|T5C3WEdragon:3|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3,
deck3579,T5C3HUdragon:29|T5C3WEdragon:3|T6C1HEdragon:3|T6C2HUdragon:3|T6C3HUdragon:2,
deck3580,T5C3WEdragon:32|T6C1WIdragon:3|T6C1HEdragon:3|T6C3HIdragon:2,
deck3581,T5C3HUdragon:29|T5C3WEdragon:3|T6C1HEdragon:3|T6C2HUdragon:3|T6C3HUdragon:2,
deck3582,T5C3WEdragon:32|T5C3WFdragon:3|T6C1WFdragon:3|T6C3WFdragon:2,
deck3583,T5C3SDdragon:31|T5C3WEdragon:3|T6C1WDdragon:3|T6C3SDdragon:2|T6C3SEdragon:2,
deck3584,T5C3WEdragon:38|T6C3SEdragon:2,
deck3585,T6C1WDdragon:37|T7C1WDdragon:3,
deck3586,T6C1WIdragon:31|T6C1SIdragon:3|T6C3SEdragon:2|T7C1SIdragon:3,
deck3587,T6C1HEdragon:31|T6C1WFdragon:3|T6C3WFdragon:2|T7C1HFdragon:3,
deck3588,T6C1WIdragon:4,
deck3589,T6C3SEdragon:4,
deck3590,T6C1HEdragon:31|T6C1WFdragon:3|T6C3WFdragon:2|T7C1HFdragon:3,
deck3591,T6C1WDdragon:33|T6C1HEdragon:3|T7C1WDdragon:3,
deck3592,T6C3SEdragon:34|T6C3WFdragon:2|T7C2SEdragon:4,
deck3593,T6C3SEdragon:29|T7C1SIdragon:3|T7C2SEdragon:4|T7C2WIdragon:4,
deck3594,T7C2WIdragon:4,
deck3595,T7C1WDdragon:36|T7C2HDdragon:4,
deck3596,T5C3SIdragon:37|T6C1SIdragon:3,
deck3597,T5C3SIdragon:25|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3,
deck3598,T5C2SEdragon:31|T5C3SIdragon:3|T6C1HEdragon:3|T6C1SIdragon:3,
deck3599,T5C2WIdragon:26|T5C3SDdragon:3|T5C3SIdragon:3|T6C1WDdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3600,T5C2WIdragon:31|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck3601,T5C3SIdragon:34|T6C1SFdragon:3|T6C1SIdragon:3,
deck3602,T5C3HUdragon:27|T5C3SIdragon:3|T6C1SIdragon:3|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2,
deck3603,T5C3SIdragon:35|T6C1SIdragon:3|T6C3HIdragon:2,
deck3604,T5C3HUdragon:27|T5C3SIdragon:3|T6C1SIdragon:3|T6C2HUdragon:3|T6C3HIdragon:2|T6C3HUdragon:2,
deck3605,T5C3WFdragon:26|T6C1SFdragon:3|T6C1WIdragon:3|T6C1SIdragon:3|T6C1WFdragon:3|T6C3WFdragon:2,
deck3606,T5C3SDdragon:32|T5C3SIdragon:3|T6C1SIdragon:3|T6C3SDdragon:2,
deck3607,T5C3SIdragon:35|T6C1SIdragon:3|T6C3SEdragon:2,
deck3608,T6C1WDdragon:25|T6C1WIdragon:3|T6C1SIdragon:3|T6C3SDdragon:2|T7C1SIdragon:3|T7C1WDdragon:3,
deck3609,T6C1SIdragon:37|T7C1SIdragon:3,
deck3610,T6C1SFdragon:28|T6C1SIdragon:3|T6C3HIdragon:2|T7C1HFdragon:3|T7C1SIdragon:3,
deck3611,T6C1WIdragon:33|T6C1SIdragon:3|T7C1SIdragon:3,
deck3612,T6C1SIdragon:35|T6C3SEdragon:2|T7C1SIdragon:3,
