identifier,text,h
spell_RisingTemperSpell_spellDescription,Passive: Dragon has increased breath damage.,
spell_MoltenBarrierSpell_spellName,Molten Barrier,
spell_MoltenBarrierSpell_spellDescription,Blocks all projectile and beam attack damage.,
spell_EruptionSpell_spellName,Eruption,
spell_EruptionSpell_spellDescription,Deals area damage and gain brief invincibility. Restores health on cast.,
spell_ScatterSpell_spellName,Scatter,
spell_ScatterSpell_spellDescription,"Dragon cloaks briefly and recovers Hunter ammo. Upon uncloaking, damages nearby towers.",
spell_EnsnaringVinesSpell_spellName,Ensnaring Vines,
spell_ShrineGuardianSpell_spellName,Shrine Guardian,
spell_ShrineGuardianSpell_spellDescription,Passive: Dragon has increased rage generation.,
spell_SummonWaterSpiritSpell_spellName,Summon Water Spirit,
spell_SummonWaterSpiritSpell_spellDescription,Summons a Water Spirit Dragon to fight for you.,
buildingUpgradeLockedReason_reachLevel,Reach Level,
buildingUpgradeLockedReason_buildBuilderHut,Build Builder Hut,
buildingUpgradeLockedReason_upgradeBuilderHut,Upgrade Builder Hut First,
buildingUpgradeLockedReason_upgradeSoon,Will Upgrade Soon,
buildingUpgradeAssist_title,Ask for help,
buildingUpgradeAssist_message,It's hard to get this many resources!  Ask your teammate for help?,
buildingUpgradeCannotAssist_title,Can't ask for help,
buildingUpgradeCannotAssist_message,You need to join a team to ask for help,
spell_NourishingShadowsSpell_spellName,Nourishing Shadows,
spell_NourishingShadowsSpell_spellDescription,Dragon has massively increased Hunter ammo regeneration for a short time. Restores health on cast.,
primarch_class_popup_description_top,"Each class has one advantage over another class, and one disadvantage against another class.",
primarch_class_popup_description_center,is strong against,
primarch_class_popup_description_bottom,                                                    are neutral against all the other classes.,
primarch_class_popup_title,PRIMARCH CLASSES,
primarch_combat_view_attack,Attack Power,
primarch_combat_view_defense,Defense Power,
primarch_combat_taunt_break,to break taunt for,
primarch_combat_taunt_reset,to reset cooldown,
worldmap_transfer,Transfer,
primarch_stat_detail_base_stat,BASE STATS,
primarch_stat_detail_season_buff,SEASON BUFF,
primarch_stat_detail_matchup_buff,CLASS BUFF,
primarch_stat_detail_matchup_debuff,CLASS DEBUFF,
primarch_stat_detail_fort_buff,FORT BUFF,
primarch_stat_detail_fort_debuff,FORT DEBUFF,
world_upkeep_enable,Automatic upkeep payments have been enabled for castle {CASTLENAME} by {USERNAME}.,
world_upkeep_disable,Automatic upkeep payments have been disabled for castle {CASTLENAME} by {USERNAME}.,
world_upkeep_first_fail,Automatic upkeep payment for castle {CASTLENAME} has failed due to insufficient gold. Another payment attempt will be made two hours prior to upkeep expiration.,
world_upkeep_second_fail,Automatic upkeep payment for castle {CASTLENAME} has failed again due to insufficient gold. Please pay upkeep manually before the castle's upkeep expires.,
world_upkeep_success,Automatic upkeep payment for castle {CASTLENAME} was completed successfully.,
world_upkeep_manual,Upkeep payment at {CASTLENAME} was manually completed by {USERNAME}.,
spell_WhirlpoolSpell_spellName,Whirlpool,
spell_WhirlpoolSpell_spellDescription,"Disables towers in the target area for a short duration, or until it takes damage.",
spell_Sandblast_spellName,Sand Blast,
spell_Sandblast_spellDescription,Damages and freezes all towers in target area.,
spell_ReefFamiliarSpell_spellName,Reef Familiar,
spell_ReefFamiliarSpell_spellDescription,Summons a Reef Familiar to fight for you.,
spell_VaporShieldSpell_spellName,Vapor Shield,
spell_VaporShieldSpell_spellDescription,Greatly reduces incoming damage. Restores health on cast.,
spell_CausticSpinesSpell_spellName,Caustic Spines,
spell_CausticSpinesSpell_spellDescription,Damages towers and causes them to take damage over time. Damaged towers take increased damage.,
spell_ApexPredatorSpell_spellName,Apex Predator,
spell_ApexPredatorSpell_spellDescription,Alternates between Primordial Breath and Primal Shield.,
spell_PrimordialBreathSpell_spellName,Primordial Breath,
spell_PrimordialBreathSpell_spellDescription,Dragon's breath attack deals greatly increased damage.,
spell_PrimalShieldSpell_spellName,Primal Shield,
spell_PrimalShieldSpell_spellDescription,"Absorbs damage until depleted then explodes, damaging nearby towers.",
spell_TanglingKelpSpell_spellName,Tangling Kelp,
spell_TanglingKelpSpell_spellDescription,Damages and freezes all towers within range. Towers take additional damage after being frozen.,
spell_UnderwhelmingFireball_spellName,Underwhelming Fireball,
spell_UnderwhelmingFireball_spellDescription,Does a mediocre amount of damage to all towers in the target area.,
spell_GetAngrySpell_spellName,Get Angry!,
spell_GetAngrySpell_spellDescription,Greatly increases dragon's rage generation while active. Destroying towers restores health.,
spell_DeflectingGaleSpell_spellName,Deflecting Gale,
spell_DeflectingGaleSpell_spellDescription,Dragons dodges all incoming projectiles and periodically damages all nearby towers.,
spell_InvokeFreezeSpell_spellName,Invoke: Freeze,
spell_InvokeFreezeSpell_spellDescription,"Dragon's empowered breath attack freezes towers, deals bonus damage, and has increased AOE.",
spell_CrestingWaveSpell_spellName,Cresting Wave,
spell_CrestingWaveSpell_spellDescription,Heavily damages target tower. Restores health on cast.,
spell_HydrostrikeSpell_spellName,Hydrostrike,
spell_HydrostrikeSpell_spellDescription,Heavily damages target tower and restores health on cast.,
spell_ContagionSpell_spellName,Contagion,
spell_ContagionSpell_spellDescription,Alternates between a breath damage boost and an area-of-effect tower debuff.,
spell_DeliriumSpell_spellName,Delirium,
spell_DeliriumSpell_spellDescription,Increases Damage and Rage generation.,
spell_DefileSpell_spellName,Defile,
spell_DefileSpell_spellDescription,Damages nearby buildings and reduces their damage.,
spell_LightningSurgeSpell_spellName,Lightning Surge,
spell_LightningSurgeSpell_spellDescription,Strikes target tower with lightning that chains to random nearby towers.,
spell_SwarmStrikeSpell_spellName,Swarm Strike,
spell_SwarmStrikeSpell_spellDescription,Fires multiple projectiles at random nearby towers.,
spell_SummonSwarmSpell_spellName,Summon Swarm,
spell_SummonSwarmSpell_spellDescription,Summons a bug swarm to fight for you.,
spell_LocustCloudSpell_spellName,Locust Cloud,
spell_LocustCloudSpell_spellDescription,Dragon dodges all incoming projectiles and periodically damages nearby towers.,
spell_AcidSpitSpell_spellName,Acid Spit,
spell_AcidSpitSpell_spellDescription,Heavily damages target tower.,
guildWarCannotAttack_maxAttempts_title,Max Attempts Reached,
guildWarCannotAttack_maxAttempts_body,You have already made the maximum number of lead attacker attempts allowed (%ld) in this war. You can still assist teammates in their attacks.,
guildWarCannotAttack_alreadyEliminated_title,Player Already Eliminated,
guildWarCannotAttack_alreadyEliminated_body,%@ has already been eliminated.,
guildWarCannotAttack_alreadyContributed_title,Already Contributed,
guildWarCannotAttack_alreadyContributed_body_singular,You have already attained flames on 1 war enemy. You cannot score flames on another target. You can still assist teammates in their attacks.,
guildWarCannotAttack_alreadyContributed_body_plural,You have already attained flames on %ld war enemies. You cannot score flames on another target. You can still assist teammates in their attacks.,
guildWarCannotAttack_playerLeft_title,Player Left Team,
guildWarCannotAttack_playerLeft_body,%@ has left the team and is therefore eliminated.,
guildWarCannotAttack_joinedLate_title,Can't contribute flames to this war!,
guildWarCannotAttack_joinedLate_body,"Warning! This war was declared before you joined the team, so you can't contribute flames!",
guildWarCannotAttack_legacyPlayer_title,Legacy Player Eliminated,
guildWarCannotAttack_legacyPlayer_body,%@ has not recently updated and has been eliminated.,
guildWarCannotAttack_legacyPlayerUnattackable_body,%@ has already been eliminated and cannot be attacked.,
guildWarCannotAttack_playerUnderAttack_title,Player Under Attack,
guildWarCannotAttack_playerUnderAttack_body,%@ is already under attack,
primarch_tech_tree_button_level_up,Level Up,
primarch_tech_tree_button_research,Research,
primarch_tech_tree_button_transfer_glory,Transfer Glory,
primarch_tech_tree_expert_glory_display_label,Accumulated Glory:,
primarch_glory_transfer_buy_glory_button_label,Buy Glory,
primarch_glory_transfer_title,Select a Primarch to transfer Glory from,
primarch_glory_transfer_no_glory_to_transfer,You don't have any extra glory that can be transferred,
primarch_glory_transfer_confirm_title,Confirm Glory Transfer,
primarch_glory_transfer_confirm_message,Are you sure you want to spend %@ diamonds to transfer %@ glory from %@ to %@?,
primarch_glory_transfer_waiting_for_transfer,Transferring...,
primarch_glory_transfer_transfer_failed_title,Glory transfer failed,
primarch_glory_transfer_transfer_failed_message,Failed to transfer glory,
primarch_glory_purchase_confirm_title,Confirm Purchase Glory,
primarch_glory_purchase_confirm_message,Are you sure you want to spend %@ diamonds to purchase %@ glory for %@?,
primarch_glory_purchase_waiting_to_buy,Glorifying...,
primarch_glory_purchase_failed_title,Glory purchase failed,
primarch_glory_purchase_failed_message,Failed to purchase glory,
spell_Meteor_spellName,Meteor,
spell_Meteor_spellDescription,Damages and freezes all towers in target area.,
spell_invokeAssimilateSpell_spellName,Invoke: Assimilate,
spell_invokeAssimilateSpell_spellDescription,Dragon's Invoked attack deals bonus damage and has increased AOE. Any towers destroyed restore health.,
spell_WritheSpell_spellName,Writhe,
spell_WritheSpell_spellDescription,"Dragon cloaks briefly. Upon uncloaking, damages nearby towers.",
spell_EntropySpell_spellName,Entropy,
spell_EntropySpell_spellDescription,"Dragon's breath attack poisons towers, causing them to take damage over time indefinitely.",
spell_CosmicGazeSpell_spellName,Cosmic Gaze,
spell_CosmicGazeSpell_spellDescription,Fires a projectile that destroys an automatically chosen tower. Restores health on cast.,
spell_EvilEyeSpell_spellName,Evil Eye,
spell_EvilEyeSpell_spellDescription,Toggle to massively increase breath damage and reduce incoming damage. Drains rage while active.,
spell_RoarFromBeyondSpell_spellName,Roar from Beyond,
spell_RoarFromBeyondSpell_spellDescription,Damages and debuffs nearby buildings. Debuffed towers deal reduced damage.,
spell_TwistedVisageSpell_spellName,Twisted Visage,
spell_TwistedVisageSpell_spellDescription,Alternates between Mask of Misery and Mask of Mania.,
spell_MaskOfMiserySpell_spellName,Mask of Misery,
spell_MaskOfMiserySpell_spellDescription,"On cast, dragon takes damage and restores rage.",
spell_MaskOfManiaSpell_spellName,Mask of Mania,
spell_MaskOfManiaSpell_spellDescription,Consumes all Hunter Ammo then heals based on Hunter ammo spent.,
spell_RealityWarpSpell_spellName,Reality Warp,
spell_RealityWarpSpell_spellDescription,"Dragon cloaks briefly. Upon uncloaking, damages nearby towers and deals increased breath damage.",
spell_MindSpikeSpell_spellName,Mind Spike,
spell_MindSpikeSpell_spellDescription,Heavily damages target tower. Restores health on cast.,
spell_BloodMistSpell_spellName,Blood Mist,
spell_BloodMistSpell_spellDescription,Dragon cloaks briefly and recovers hunter ammo. Has increased breath damage after uncloaking.,
spell_ElderSign_spellName,Elder Sign,
spell_ElderSign_spellDescription,Shields dragon. Next cast removes shield and damages and debuffs towers.,
spell_EternalMightSpell_spellName,Eternal Might,
spell_EternalMightSpell_spellDescription,Passive: Dragon has massively increased health and breath damage.,
spell_AwakenSpell_spellName,Awaken!,
spell_AwakenSpell_spellDescription,Deals area damage and gain brief invincibility. Fully restore health and rage.,
spell_TouchOfTheDeep_spellName,Touch of the Deep!,
spell_TouchOfTheDeep_spellDescription,Freezes and damages buildings in the target area.,
spell_WhispersOfMadnessSpell_spellName,Whispers of Madness,
spell_WhispersOfMadnessSpell_spellDescription,Target tower is forced to attack other towers for a short duration. Tower is heavily damaged when duration ends.,
spell_SynapticWaveSpell_spellName,Synaptic Wave,
spell_SynapticWaveSpell_spellDescription,Damages and freezes all towers within range. Towers take additional damage after being frozen.,
spell_OverchargeSpell_spellName,Overcharge,
spell_OverchargeSpell_spellDescription,Dragon gains increased breath damage and rage generation. Destroying towers restores health.,
spell_FerociousDiveSpell_spellName,Ferocious Dive,
spell_FerociousDive_spellDescription,Dragon cloaks briefly and rushes forward. Restores health on cast.,
spell_MarshBoltSpell_spellName,Marsh Bolt,
spell_MarshBoltSpell_spellDescription,Heavily damages target tower.,
spell_ProwlSpell_spellName,Prowl,
spell_ProwlSpell_spellDescription,Restores rage on cast. Destroying towers restores health.,
spell_RavageSpell_spellName,Ravage,
spell_RavageSpell_spellDescription,Dragon gains increased breath damage and restores health whenever a tower is destroyed.,
spell_DragonCurseSpell_spellName,Curse of Greed,
spell_DragonCurseSpell_spellDescription,Passive: Dragon doesn't generate rage over time. Destroying towers restores health and rage.,
spell_HowlOfTheUnderworldSpell_spellName,Howl of the Underworld,
spell_HowlOfTheUnderworldSpell_spellDescription,"Alternates between an area-of-effect tower debuff, health stealing, and single target damage.",
spell_AncientFurySpell_spellName,Ancient Fury,
spell_AncientFurySpell_spellDescription,Gains Rage but slows regen rate. Gain health on building destruction.,
spell_PitilessWailSpell_spellName,Pitiless Wail,
spell_PitilessWailSpell_spellDescription,Deals damage to buildings nearby and reduces their damage for entire fight,
spell_PetrifyingGazeSpell_spellName,Petrifying Gaze,
spell_PetrifyingGazeSpell_spellDescription,Freezes all towers within range. Towers take additional damage after being frozen.,
spell_GorgonsGuiseSpell_spellName,Gorgons Guise,
spell_GorgonsGuiseSpell_spellDescription,"Dragon cloaks briefly. Upon uncloaking, deals increased breath damage.",
spell_SmotherSpell_spellName,Smother,
spell_SmotherSpell_spellDescription,Disables towers in target area until they take damage.,
spell_MarkOfHungerSpell_spellName,Mark of Hunger,
spell_MarkOfHungerSpell_spellDescription,Spreads heal marks across nearby towers.,
spell_DevourSpell_spellName,Devour,
spell_DevourSpell_spellDescription,Heavily damages target tower. Restores health on cast.,
spell_FireLance_spellName,Flame Torrent,
spell_FireLance_spellDescription,Passive: Breath attack that ramps up damage on sustained attack up to cap.,
unequippableMonumentRuneEquip,Equipped runes require rubies to remove. Equipped runes can also be salvaged for Dust.,
permanentMonumentRuneEquip,Equipping a Rune is permanent.\nThe only way to unequip a Rune is to salvage it for Dust.,
unequippableDragonRuneEquip,Equipped runes require chisels to remove. Earn them via event prizes! Equipped runes can also be salvaged for Dust.,
permanentDragonRuneEquip,Equipping a Rune is permanent.\nThe only way to unequip a Rune is to salvage it for Dust.,
unequipDragonRunePopup,Are you sure you want to remove this rune from %@? You can find it in your rune inventory after removal.,
unequipMonumentRunePopup,Are you sure you want to remove this rune? You can find it in your rune inventory after removal.,
unequipRuneConfirmationTitle,Remove Rune?,
unequipRuneConfirmationMessage,"You are applying %@ %@ to remove this rune, are you sure?",
buildingTransform_LevelCappedDialog_Title,Warning,
buildingTransform_LevelCappedDialog_Description,"The transformation you have selected is limited by your player level. If you reach level %d, you will be able to transform this tower to Level %d. Do you wish to continue?",
buildingTransform_BuilderCappedDialog_Description,"The transformation you have selected is limited by your builder level. If you don't upgrade your builder to level %d, you will be unable to transform this tower to Level %d. Do you wish to still continue and transform this tower to a lower level?",
buildingTransform_unavailableReason_cappedBuildings,You currently have the maximum total number of %@ in your base and storage. Please select a different transformation destination type.,
buildingTransform_unavailableReason_levelZero,You can't transform to Level 0!,
buildingTransform_StoreAfterDialog_Title,ALERT,
buildingTransform_StoreAfterDialog_Description,The building you just transformed couldn't be placed at the point it previously was built at. The new tower has been moved to your storage.,
buildingTransformation_confirmation_title,WARNING,
buildingTransformation_confirmationSalvageXP_description,The selected %@ will be permanently lost and %d additional XP will be required to reach your next player level. Are you sure you want to continue?,
buildingTransformation_confirmationNoSalvageXP_description,The selected %@ will be permanently lost. Are you sure you want to continue?,
buildingMerge_levelCappedDialog_title,WARNING,
buildingMerge_levelCappedDialog_description,"The merge you are about to perform is capped by your player level. If you reach level %d, you will be able to merge this building to Level %d. Do you wish to continue?",
buildingMerge_builderCappedDialog_description,"The merge you are about to perform is capped by your builder level. If you don't upgrade your builder to level %d, you will be unable to merge this building to Level %d. Do you wish to still continue and merge your building to a lower level?",
buildingMerge_levelCappedDialog_addingBuilding,"You cannot upgrade this tower past level %d. If you wish to select this tower, please unselect other towers.",
buildingMerge_invalidBuilding_title,INVALID BUILDING,
buildingMerge_invalidBuilding_levelDescription,Towers must reach a minimum level of %d in order to become eligible for merging.,
buildingMerge_invalidBuilding_upgradeDescription,Towers cannot be merged while they are upgrading. Complete upgrading this tower to continue.,
buildingMerge_infoPopup_title,MERGING TOWERS,
buildingMerge_infoPopup_body,You can strengthen your tower by sacrificing other towers from your storage or your base. The aforementioned merged towers will be permanently lost. Any reduction in total XP after merging will be added to the required XP to achieve the next player level. Warning: you will not gain XP from this action and the resulting tower level will reflect this limit.,
transformBuilding_tooLowLevel_title,TOO LOW LEVEL!,
transformBuilding_tooLowLevel_body,This building is too low level to transform. Upgrade it to Level %d to transform!,
spell_StormBreath_spellName,Storm Breath,
spell_StormBreath_spellDescription,Dragon gains increased breath damage for a short duration.,
spell_WingGustSpell_spellName,Wing Gust,
spell_WingGustSpell_spellDescription,Destroys all mid-air projectiles and briefly stuns towers.,
spell_InvokeExcavateSpell_spellName,Invoke: Excavate,
spell_InvokeExcavateSpell_spellDescription,Dragon's Invoked attack deals massive damage and restores health when it becomes ready.,
spell_Hover_spellName,Hover,
spell_Hover_spellDescription,"Dragon cloaks, hovers in-place, and has increased rage generation. Dragon can cast spells and use its breath attack without uncloaking.",
spell_RapidCoolingSpell_spellName,Rapid Cooling,
spell_RapidCoolingSpell_spellDescription,Damages all nearby towers and massively decreases dragon's next reload time.,
spell_SnowdriftSpell_spellName,Snowdrift,
spell_SnowdriftSpell_spellDescription,Disables all towers in target area until they take damage. Towers cannot attack or use supershots while disabled.,
spell_SilentSwoopSpell_spellName,Silent Swoop,
spell_SilentSwoopSpell_spellDescription,"Dragon cloaks briefly and recovers hunter ammo. Upon uncloaking, dragon gains increased breath damage.",
spell_BattleScreechSpell_spellName,Battle Screech,
spell_BattleScreechSpell_spellDescription,Each cast increases breath damage for the rest of the battle. Buff applies to all following dragons.,
spell_AvariceSpell_spellName,Avarice,
spell_AvariceSpell_spellDescription,"On cast, dragon takes damage and restores rage.",
spell_ShiningSplendorSpell_spellName,Shining Splendor,
spell_ShiningSpendorSpell_spellDescription,Dragon dodges all incoming projectiles and periodically damages nearby towers.,
spell_GoldenHexSpell_spellName,Golden Hex,
spell_GoldenHexSpell_spellDescription,Dragon can cast two targeted debuff spells. Recasting the spell on debuffed towers destroys them.,
spell_GildSpell_spellName,Gild,
spell_GildSpell_spellDescription,"Towers in target area deal less damage. If already affected by this debuff, towers are destroyed.",
spell_ChompSpell_spellName,Chomp!,
spell_ChompSpell_spellDescription,Heavily damages target tower.,
spell_WhiteoutSpell_spellName,Whiteout,
spell_WhiteoutSpell_spellDescription,Damages and freezes nearby towers. Towers take increased damage after being frozen.,
spell_HibernateSpell_spellName,Hibernate,
spell_HibernateSpell_spellDescription,Dragon restores a massive amount of health over a long duration. Can only be used once.,
spell_IceLanceSpell_spellName,Ice Lance,
spell_IceLanceSpell_spellDescription,Fires a projectile that destroys an automatically chosen tower.,
spell_ThreeGiftsSpell_spellName,Three Gifts,
spell_ThreeGiftsSpell_spellDescription,"Marks a target tower. When marked tower is destroyed, gain health and rage. Can be used three times.",
spell_GiftGivenSpell_spellName,Gift Given,
spell_GiftGivenSpell_spellDescription,"Marks a target tower. When marked tower is destroyed, gain health and rage. Can be used three times.",
spell_HolidayHelperSpell_spellName,Holiday Helper,
spell_HolidayHelperSpell_spellDescription,Summons a flamethrower-bearing friend to fight for you.,
spell_ViolentFrenzySpell_spellName,Violent Frenzy,
spell_ViolentFrenzySpell_spellDescription,Fires a projectile that destroys an automatically chosen tower.,
systemWarning_iOS1033PotentialIncompatibility_Title,POTENTIAL INCOMPATIBILITY,
systemWarning_iOS1033PotentialIncompatibility_Message,"The graphics engine is reporting an error attempting to draw to the screen. This is a known problem on some iOS versions on some devices. We recommend ensuring that you are on the latest version of iOS. If this issue persists, please contact in-game support.",!@#eikilmmnegjcgmcg
