identifier,activeAchievement,priority,narrativeActionType,narrativeItem,narrationIdentifier,delayTime,menuButton,tableName,tableItemIdentifier,arrowRotation,arrowScale,narrativeAction,tutorialMessage,shouldAlwaysScroll,additionalParameters,h
v3TutorialReadyArcher_expediteArrow,v3TutorialArcherTowerReadyToComplete,2,BuildModeWorldObjectNarrativeAction,expansion_002-building,,,,,,,,,Speed Up,1,cameraHeight:350,
v3TutorialReadyArcher_timerExpedite,v3TutorialArcherTowerReadyToComplete,5,TimerOverlayNarrativeAction,archerTower_timer,,,,,,,1,,Speed Up,1,cameraHeight:350,
v3TutAuxDefense1Arrow_defendArrow,v3TutAuxDefense1Arrow,,MenuArrowDisableWorldTouchesNarrativeAction,joinBattleNotification,,,button,,,180,1,,Defend!,,,
v3TutorialDefense1Finish_disableCancel,v3TutorialDefense1Finish,,DisableMenuButtonNarrativeAction,replayHud,,,quitDefenseContainerNode,,,,,,,,,
v3TutAuxDefense1HardPauseStep_Pause,v3TutAuxDefense1HardPause,,PauseBattleNarrativeAction,replayHud,,,pauseLayer,,,,,,,,,
v3TutAuxDefense1Hint01Step_Hint,v3TutAuxDefense1Hint01,,ShowHintOnScreenNarrativeAction,replayHud,,,,,,0,1.25,,"Towers Attack Automatically
(tap to continue)",,time:100000|x:50|y:50,
v3TutAuxDefense1Hint02Step_Hint,v3TutAuxDefense1Hint02,,MenuArrowNarrativeAction,replayHud,,,fillRageSprite,,,90,1.25,,"You get a limited number of powerful Super Shots per round
(tap to continue)",,showHint:1,
v3TutAuxDefense1Hint04_pause,v3TutAuxDefense1Hint04,,PauseBattleNarrativeAction,replayHud,,,pauseLayer,,,,,,,,,
v3TutAuxDefense1Hint04_hint,v3TutAuxDefense1Hint04,,ShowHintOnScreenNarrativeAction,replayHud,,,,,,0,1.25,,"Great!  The tower is charging up to fire the super shot!
(tap to continue)",,time:100000|x:50|y:50,
v3TutAuxDefense1Hint05_pause,v3TutAuxDefense1Hint05,,PauseBattleNarrativeAction,replayHud,,,pauseLayer,,,,,,,,,
v3TutAuxDefense1Hint05_hint,v3TutAuxDefense1Hint05,,ShowHintOnScreenNarrativeAction,replayHud,,,,,,0,1.25,,"This flaming arrow will deal 3x damage!
(tap to continue)",,time:100000|x:50|y:50,
v3TutAuxDefense1Hint03Step_Arrow,v3TutAuxDefense1Hint03,,DefenseWorldObjectNarrativeAction,expansion_002-building,,,,,,0,1.25,,Tap to Fire Super Shot!,,,
v3TutorialPostDefense1_narration,v3TutorialPostDefenseDialog,,NarrationNarrativeAction,,narrationV3PostDefenseBattle,,,,,,,,,,,
v3TutorialNotificationsPrompt_prompt,v3TutorialNotificationsPromptDelay,,PromptNotificationsNarrativeAction,,,,,,,,,,,,,
v3TutorialClearExpansion1Start_narration,v3TutorialClearExpansion1Start,,NarrationNarrativeAction,,narrationV3ForestStart,,,,,,,,,,,
v3TutorialClearExpansion1Start_worldArrow,v3TutorialClearExpansion1Start,1,BuildModeWorldObjectNarrativeAction,expansion_003,,,,,,,,,Start Clearing,1,,
v3TutorialClearExpansion1Start_contextArrow,v3TutorialClearExpansion1Start,2,MenuArrowNarrativeAction,expansionContext,,,expansionButton,,,,,,Start Clearing,,,
v3TutorialClearExpansion1Start_popupArrow,v3TutorialClearExpansion1Start,2,MenuArrowNarrativeAction,advisoredPurchase,,,goButton,,,270,0.75,,Start Clearing,,,
v3TutorialClearExpansion1StartDelay_narration,v3TutorialClearExpansion1StartDelay2,,NarrationNarrativeAction,,narrationV3ForestFinish,,,,,,,,,,,
v3TutorialQuestMenu_menuArrow,v3TutorialQuestIconArrow,,MenuArrowNarrativeAction,hud,,,questsButton,,,90,0.75,,Quest Menu,,,
v3TutorialQuestMenu_menuHint,v3TutorialQuestHint,,ShowHintOnScreenNarrativeAction,achievementsMenu,,,,,,0,1.25,,"Claim your rewards by finishing the tutorial!
(tap to continue)",,time:100000|x:50|y:50,
bothTutorialQuestMenu_disableButton,bothTutorialDisableQuestMenu,,DisableMenuButtonNarrativeAction,hud,,,questsNode,,,,,,,,,
showVideoPrompt_1,altTutorialPve01HintIntroIsland2,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
showVideoPrompt_2,altTutorialPve01HintIntroIsland2,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Learn how to attack with Draco!
(tap to continue)",,time:100000|x:50|y:50,
showFlamethrowerVideoTut,altTutorialPve01VideoTutIntroIsland,,ShowVideoTutorialNarrativeAction,,,,,,,,,,,,identifier:dragonAttackFlamethrower|closeDelay:5|spellType:passive,
altTutorialPve01DestroyedIntroIsland_pulse,altTutorialPve01PulseIntroIsland,,ShowPulseNarrativeAction,expansion_016-building,,,,,,,,,,,,
altTutorialPve01PausedIntroIsland_pause,altTutorialPve01PausedIntroIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve01DestroyedFirstIsland_pulse,altTutorialPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_012-building,,,,,,,,,,,,
altTutorialPve01DestroyedFirstIsland_pulse2,altTutorialPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_013-building,,,,,,,,,,,,
altTutorialPve01PausedFirstIsland_pause,altTutorialPve01PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve01DestroyedSecondIsland_pulse,altTutorialPve01PulseSecondIsland,,ShowPulseNarrativeAction,expansion_006-building,,,,,,,,,,,,
altTutorialPve01DestroyedSecondIsland_pulse2,altTutorialPve01PulseSecondIsland,,ShowPulseNarrativeAction,Expansion_010-building,,,,,,,,,,,,
altTutorialPve01PausedSecondIsland_pause,altTutorialPve01PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve01DestroyedThirdIsland_pulse,altTutorialPve01PulseThirdIsland,,ShowPulseNarrativeAction,expansion_002-building,,,,,,,,,,,,
altTutorialPve01DestroyedThirdIsland_pulse2,altTutorialPve01PulseThirdIsland,,ShowPulseNarrativeAction,expansion_004-building,,,,,,,,,,,,
altTutorialPve01PausedThirdIsland_pause,altTutorialPve01PausedThirdIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve01ShowHint01_Hint,altTutorialPve01ShowHint01,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Warrior Dragons like Draco are great for building rage,,time:100000|x:50|y:80,
altTutorialPve01ShowHint02_Hint,altTutorialPve01ShowHint02,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Save up that rage for Sorcerer Dragons like Elixis,,time:100000|x:50|y:80,
altTutorialPve01FinishedThirdIsland_disableSurrender,altTutorialPve01FinishedThirdIsland,,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
altTutorialPve01FinishedThirdIsland_disableSpell,altTutorialPve01FinishedThirdIsland,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Save your rage for Elixis!,,time:3,
altTutorialPve01WithdrewDragon_disableSpell,altTutorialPve01WithdrewDragon,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Save your rage for Elixis!,,time:3,
altTutorialPve01WithdrewDragonStep_pause,altTutorialPve01WithdrewDragon,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
altTutorialPve01WithdrewDragonStep_hint,altTutorialPve01WithdrewDragon,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.25,,We need Elixis to destroy these all at once!,,time:100000|x:50|y:50,
altTutorialPve01WithdrewDragonStep_arrow,altTutorialPve01WithdrewDragon,,MenuArrowNarrativeAction,battleHud,,,surrenderMenuItemImage,,,90,1,,Get Elixis!,,,
altTutorialPve01SelectDragon_arrow,altTutorialPve01SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,redTutorialDragon,0,,,Select Dragon,,,
altTutorialPve01RagePersists_Hint,altTutorialPve01RagePersists,,ShowHintOnScreenNarrativeAction,attackPreviewHud,,,,,,0,1.25,,"Rage is shared between dragons!
(tap to continue)",,time:100000|x:35|y:50,
altTutorialPve01SelectDragon2_arrow,altTutorialPve01SelectDragon2,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
altTutorialPve01SelectDragon_lock,altTutorialPve01SelectDragon,,DisableDragonsInAttackPreviewModeNarrativeAction,attackPreviewHud,chineseTutorialDragon|stoneTutorialDragon,,,,,0,1,,Let's Start with Draco!,,time:3,
altTutorialPve01DestroyedCastleStep_stop,altTutorialPve01DestroyedCastle,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve01DestroyedCastleStep_hint,altTutorialPve01DestroyedCastle,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Don't forget to destroy the castle!,,time:100000|x:50|y:80,
altTutorialPve01TrainDraco_disableExit,altTutorialPve01TrainDraco,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
altTutorialPve01TrainDraco_HideExit,altTutorialPve01TrainDraco,,HideMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
altTutorialPve01TrainDraco_disableBookmark,altTutorialPve01TrainDraco,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
altTutorialPve01TrainDraco_disableLayerTaps,altTutorialPve01TrainDraco,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
altTutorialPve01TrainDraco_UpgradeDragonHint,altTutorialPve01TrainDraco,,ShowMenuButtonNarrativeAction,battleResults,,,narrativeHintNode,,,0,1.2,,Tap to train dragon,,showHint:1,
altTutorialPve01TrainDraco_UpgradeDragonArrow,altTutorialPve01TrainDraco,,MenuArrowNarrativeAction,battleResults,,,dragonHolderNarrativeNode,,,270,1,,,,showHint:1,
altTutorialPve01TrainDraco_worldArrow,altTutorialPve01TrainDraco,,BuildModeWorldObjectNarrativeAction,expansion_057-building,,,,,,,0.75,,Train Dragon,,,
altTutorialPve01TrainDraco_stableHudArrow,altTutorialPve01TrainDraco,,MenuArrowNarrativeAction,stableHud,,,upgradeButton,,,0,0.75,,Train Dragon,,,
altTutorialPve01TrainDraco_buildingContextArrow,altTutorialPve01TrainDraco,4,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,0,0.75,,Train Dragon,,,
altTutorialPve01TrainDraco_stableUpgradeViewArrow,altTutorialPve01TrainDraco,,MenuArrowNarrativeAction,stableDragonUpgrade,,,trainButton,,,0,1,,Train Dragon,,,
altTutorialPve01Finish_disableRage,altTutorialPve01Finish,,DisableMenuButtonNarrativeAction,battleHud,,,spellNode,,,,,,,,,
altTutorialPve01Finish_attackButtonArrow,altTutorialPve01Finish,1,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Khan,,,
altTutorialPve01Finish_narration,altTutorialPve01Finish,,NarrationNarrativeAction,,narrationPve01,,,,,,,,,,,
altTutAuxPve01Finish_disableSurrender,altTutorialPve01Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
altTutorialPve02DisableWorldTouches,altTutorialPve01Finish,,DisableWorldTouchesNarrativeAction,,,,,,,,,,,,,
altTutorialPve02Finish_narration,altTutorialPve02Finish,1,NarrationNarrativeAction,,narrationPve01Finish,,,,,,,,,,,
altTutAuxPve02SelectDragon_cancelButtonDisable,altTutAuxPve02SelectDragon,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
altTutAuxPve02SelectDragon_selectDragon,level999,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,redTutorialDragon,0,,,Select Dragon,,,
altTutAuxPve02DestroyedFirstIsland_pulse,altTutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_038-building,,,,,,,,,,,,
altTutAuxPve02DestroyedFirstIsland_pulse2,altTutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_040-building,,,,,,,,,,,,
altTutAuxPve02DestroyedFirstIsland_pulse3,altTutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_037-building,,,,,,,,,,,,
altTutAuxPve02PausedFirstIsland_pause,altTutAuxPve02PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutAuxPve02SpellSecondIsland_pause,altTutAuxPve02HardPauseSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
altTutAuxPve02spellUsageTestArrow,level999,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,270,0.7,,Use Spell,,,
altTutAuxPve02testSpellButtonHighlight,altTutAuxPve02SpellSecondIsland,,MenuCustomNarrativeAction,battleHud,,,spellButton1,,,,,narrativeSpriteHighlight,,,,
altTutAuxPve02SpellSecondIsland_spellArrow2,altTutAuxPve02SpellSecondIsland,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.25,,Explosive Shield spell! Protect your Dragon!,,showHint:1,
altTutAuxPve02DestroyedSecondIsland_pulse1,altTutAuxPve02PulseSecondIsland,,ShowPulseNarrativeAction,expansion_031-building,,,,,,,,,,,,
altTutAuxPve02DestroyedSecondIsland_pulse2,altTutAuxPve02PulseSecondIsland,,ShowPulseNarrativeAction,expansion_032-building,,,,,,,,,,,,
altTutAuxPve02DestroyedSecondIsland_pulse3,altTutAuxPve02PulseSecondIsland,,ShowPulseNarrativeAction,expansion_033-building,,,,,,,,,,,,
altTutAuxPve02PausedSecondIsland_pause,altTutAuxPve02PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutAuxPve02PausedThirdIsland_pause,altTutAuxPve02PausedThirdIsland,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutAuxPve02SpellThirdIsland_disable1,altTutAuxPve02SpellThirdIsland,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
altTutAuxPve02SpellThirdIsland_disable2,altTutAuxPve02SpellThirdIsland,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Wait until we have towers to destroy!,,time:3,
altTutAuxPve02PausedFifthIsland_pause,altTutAuxPve02PausedFifthIsland,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve02TrainDraco_disableExit,level999,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
altTutorialPve02TrainDraco_disableBookmark,level999,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
altTutorialPve02TrainDraco_disableLayerTaps,level999,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
altTutorialPve02TrainDraco_UpgradeDragonArrow,level999,,ShowMenuButtonNarrativeAction,battleResults,,,narrativeHintNode,,,0,1.2,,Tap to train dragon,,showHint:1,
altTutorialPve02TrainDraco_worldArrow,level999,,BuildModeWorldObjectNarrativeAction,expansion_057-building,,,,,,,0.75,,Train Dragon,,,
altTutAuxPve02Finish_disableSurrender,altTutorialPve02Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
altTutorialPve02Finish_attackButtonArrow,altTutorialPve02Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Fang,,,
altTutorialPve03SelectDragon_arrow,altTutorialPve03SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
altTutorialPve03SelectDragon_lock,altTutorialPve03SelectDragon,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:stoneTutorialDragon|showHealing:1,,,,,disableOtherDragons,,,,
altTutorialPve03Finish_arrow,altTutorialPve03Finish,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
altTutorialPve03Finish_lock,altTutorialPve03Finish,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:stoneTutorialDragon|showHealing:1,,,,,disableOtherDragons,,,,
altTutorialPve03ShowHunterAttackVideoPrompt_1,altTutorialPve03HintFirstIsland2,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
altTutorialPve03ShowHunterAttackVideoPrompt_2,altTutorialPve03HintFirstIsland2,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Learn how to attack with hunter dragons!
(tap to continue)",,time:100000|x:50|y:50,
altTutorialPve03ShowHunterAttackVideoTut,altTutorialPve03VideoTutFirstIsland,,ShowVideoTutorialNarrativeAction,,,,,,,,,,,,identifier:dragonAttackFireball|closeDelay:5|spellType:passive,
altTutorialPve03PausedFirstIsland_pause,altTutorialPve03PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve03PausedSecondIsland_pause,altTutorialPve03PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve03PausedThirdIsland_pause,altTutorialPve03PausedThirdIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve03PausedFourthIsland_pause,altTutorialPve03PausedFourthIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve03Finish_attackButtonArrow,altTutorialPve03AttackArrowDelay2,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Laria,,,
altTutorialPve03ReachIsland1_DisableSpell,altTutorialPve03ReachIsland1,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
altTutorialPve03ReachIsland1_DisableSpell01,altTutorialPve03Hint01,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
altTutorialPve03ReachIsland1_DisableSpell02,altTutorialPve03Hint02,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
altTutorialPve03HardPause_Pause,altTutorialPve03HardPause,,PauseBattleNarrativeAction,battleHud,,0.2,pauseLayer,,,,,,,,,
altTutorialPve03Hint01_Hint,altTutorialPve03Hint01,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Those towers look too strong! Let's sneak by with Cloak!
(tap to continue)",,time:100000|x:50|y:50,
altTutorialPve03Hint03_SpellArrow,altTutorialPve03Hint03,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.5,,Cloak!,,,
altTutorialPve03Hint04_Hint,altTutorialPve03Hint04,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,Careful!  If you attack you will uncloak!,,time:100000|x:50|y:50,
altTutorialPve03Hint05_Hint,altTutorialPve03Hint05,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,You only need to destroy 70% of the base to win!,,time:100000|x:50|y:50,
altTutorialPve03ReachedIsland2_disableattack,altTutorialPve03ReachedIsland2,,DisableDragonAttackNarrativeAction,,,,,,,,,,,,,
altTutorialPve03ReachedIsland3_tapToAttack,altTutorialPve03ReachedIsland3,,ShowAttackTooltipNarrativeAction,,,,,,,,,,,,,
altTutorialPve03TrainChinese_disableExit,altTutorialPve03TrainChinese,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
altTutorialPve03TrainChinese_HideExit,altTutorialPve03TrainChinese,,HideMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
altTutorialPve03TrainChinese_disableBookmark,altTutorialPve03TrainChinese,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
altTutorialPve03TrainChinese_disableLayerTaps,altTutorialPve03TrainChinese,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
altTutorialPve03TrainChinese_UpgradeDragonArrow,altTutorialPve03TrainChinese,,ShowMenuButtonNarrativeAction,battleResults,,,narrativeHintNode,,,0,1.2,,Tap to train dragon,,showHint:1,
altTutorialPve03TrainChinese_worldArrow,altTutorialPve03TrainChinese,,BuildModeWorldObjectNarrativeAction,expansion_057-building,,,,,,,0.75,,Train Dragon,,,
altTutorialPve03TrainChinese_stableHudArrow,altTutorialPve03TrainChinese,,MenuArrowNarrativeAction,stableHud,,,upgradeButton,,,0,0.75,,Train Dragon,,,
altTutorialPve03TrainChinese_stableUpgradeViewArrow,altTutorialPve03TrainChinese,,MenuArrowNarrativeAction,stableDragonUpgrade,,,trainButton,,,0,1,,Train Dragon,,,
altTutorialPve03TrainChinese_buildingContextArrow,altTutorialPve03TrainChinese,4,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,0,0.75,,Train Dragon,,,
altTutAuxPve03Finish_disableSurrender,altTutorialPve03Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
altTutorialPve04Start_narration,altTutorialPve04Start,,NarrationNarrativeAction,,narrationPve02,,,,,,,,,,,
altTutorialPve04SelectDragon_selectDragon,altTutorialPve04SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
altTutorialPve04SelectDragon_disableOtherDragons,altTutorialPve04SelectDragon,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:stoneTutorialDragon|showHealing:1,,,,,disableOtherDragons,,,,
altTutorialPve04Finish_selectDragon,altTutorialPve04Finish,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
altTutorialPve04Finish_disableOtherDragons,altTutorialPve04Finish,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:stoneTutorialDragon|showHealing:1,,,,,disableOtherDragons,,,,
altTutAuxPve04StormSuperShot_superShot,altTutAuxPve04StormSuperShot,,ActivateBuildingAbilityNarrativeAction,expansion_002-building,,,,,,,,,,,,
altTutAuxPve04rageBarArrow,altTutorialPve04RageBuildsOverTime,,MenuArrowNarrativeAction,battleHud,,,rageBarCenterNode,,,90,1,,Rage Builds Over Time!,,showHint:1,
altTutAuxPve04testRageBarGlowHighlight,altTutorialPve04RageBuildsOverTime,,MenuCustomNarrativeAction,battleHud,,,rageBarHighlight,,,,,narrativeSpriteHighlight,,,,
altTutAuxPve04testRageBarDragonHeadHighlight,altTutorialPve04RageBuildsOverTime,,MenuCustomNarrativeAction,battleHud,,,dragonHeadHighlight,,,,,narrativeSpriteHighlight,,,,
altTutAuxPve04PulseFirstIsland_pulse,altTutAuxPve04PulseFirstIsland,,ShowPulseNarrativeAction,expansion_031-building,,,,,,,,,,,,
altTutAuxPve04PulseFirstIsland_pulse2,altTutAuxPve04PulseFirstIsland,,ShowPulseNarrativeAction,expansion_032-building,,,,,,,,,,,,
altTutAuxPve04PulseFirstIsland_pulse3,altTutAuxPve04PulseFirstIsland,,ShowPulseNarrativeAction,expansion_033-building,,,,,,,,,,,,
altTutorialPve04PausedFirstIsland_pause,altTutAuxPve04PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutAuxPve04ReachedSecondIsland_hint,altTutAuxPve04SpellSecondIsland,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1,,Use Rage to Cast Spells!,,,
altTutAuxPve04ReachedSecondIsland_pause,altTutAuxPve04SpellSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
altTutorialPve04PausedSecondIsland_pause,altTutAuxPve04PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutAuxPve04SpellHint_hint,altTutAuxPve04SpellHint,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.25,,Tap on enemy towers to activate lightning!,,time:100000|x:50|y:50,
altTutAuxPve04SpellDisabled_disableSpell,altTutAuxPve04ReachedSpellSecondIsland,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
altTutAuxPve04SpellDisabled_disableSpell02,altTutAuxPve04SpellDisabled,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Wait until we have towers to destroy!,,time:3,
altTutAuxPve04DestroyedThirdIslandText_text,altTutAuxPve04DestroyedThirdIslandTextShow,1,ShowLargeTutorialMessageNarrativeAction,battleHud,,,,,,,,,You found Stone,,duration:2,
altTutAuxPve04PausedThirdIsland_pause,altTutAuxPve04PausedThirdIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutAuxPve04PausedThirdIsland_stopGame,altTutAuxPve04PausedThirdIsland,1,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
altTutAuxPve04PausedThirdIsland_spellArrow,altTutAuxPve04PausedThirdIsland,1,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.5,,Chain Lightning!,,,
altTutAuxPve04PausedFourthIsland_pause,altTutAuxPve04PausedFourthIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
altTutorialPve04Finish_attackButtonArrow,altTutorialPve04Finish,1,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Thorn,,,
altTutorialPve04TrainChinese_disableExit,level999,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
altTutorialPve04TrainChinese_disableBookmark,level999,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
altTutorialPve04TrainChinese_disableLayerTaps,level999,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
altTutorialPve04TrainChinese_UpgradeDragonArrow,level999,,ShowMenuButtonNarrativeAction,battleResults,,,narrativeHintNode,,,0,1.2,,Tap to train dragon,,showHint:1,
altTutorialPve04TrainChinese_worldArrow,level999,,BuildModeWorldObjectNarrativeAction,expansion_057-building,,,,,,,0.75,,Train Dragon,,,
altTutAuxPve04Finish_disableSurrender,altTutorialPve04Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
altTutAuxPve01SwapDragon_swapDragon,altTutorialPve01SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
altTutAuxPve01SwapDragon_swapDragon02,level999,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
altTutAuxPve02SwapDragon_swapDragon,altTutAuxPve02SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:2,
altTutAuxPve03SwapDragon_swapDragon03,level999,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
altTutAuxPve03SwapDragon_swapDragon,altTutorialPve03SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:2,
altTutAuxPve03SwapDragon_swapDragon02,altTutorialPve03SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
altTutAuxPve04SwapDragon_swapDragon,altTutAuxPve04SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:2,
altTutAuxPve04SwapDragon_swapDragon02,altTutAuxPve04SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:2,
altTutAuxPve05SwapDragon_swapDragon03,level999,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:2,
altTutAuxPve05SwapDragon_swapDragon,altTutorialPve05SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:2,
